original_filename	new_filename_iteration2	relabel_channels_clean
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s00	bmcc124_pfa_dna-tub-cetn_20231201_cl_s00	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s01	bmcc124_pfa_dna-tub-cetn_20231201_cl_s01	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s02	bmcc124_pfa_dna-tub-cetn_20231201_cl_s02	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s03	bmcc124_pfa_dna-tub-cetn_20231201_cl_s03	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s04	bmcc124_pfa_dna-tub-cetn_20231201_cl_s04	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s05	bmcc124_pfa_dna-tub-cetn_20231201_cl_s05	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s06	bmcc124_pfa_dna-tub-cetn_20231201_cl_s06	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s07	bmcc124_pfa_dna-tub-cetn_20231201_cl_s07	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s08	bmcc124_pfa_dna-tub-cetn_20231201_cl_s08	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s09	bmcc124_pfa_dna-tub-cetn_20231201_cl_s09	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s10	bmcc124_pfa_dna-tub-cetn_20231201_cl_s10	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s11	bmcc124_pfa_dna-tub-cetn_20231201_cl_s11	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s12	bmcc124_pfa_dna-tub-cetn_20231201_cl_s12	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s13	bmcc124_pfa_dna-tub-cetn_20231201_cl_s13	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s14	bmcc124_pfa_dna-tub-cetn_20231201_cl_s14	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s15	bmcc124_pfa_dna-tub-cetn_20231201_cl_s15	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s16	bmcc124_pfa_dna-tub-cetn_20231201_cl_s16	
bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s17	bmcc124_pfa_dna-tub-cetn_20231201_cl_s17	
rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s00	rcc10708_pfa_cetn-tub-dna_20231018_cl_s00	
rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s01	rcc10708_pfa_cetn-tub-dna_20231018_cl_s01	
rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s02	rcc10708_pfa_cetn-tub-dna_20231018_cl_s02	
rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s03	rcc10708_pfa_cetn-tub-dna_20231018_cl_s03	
rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s04	rcc10708_pfa_cetn-tub-dna_20231018_cl_s04	
rcc417_pfa_nhs-tub-dna_20230423_od_s00	rcc417_pfa_nhs-tub-dna_20230423_od_s00	
rcc417_pfa_nhs-tub-dna_20230423_od_s01	rcc417_pfa_nhs-tub-dna_20230423_od_s01	
rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s00	rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s00	
rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s01	rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s01	
rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s02	rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s02	
bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s00	bmcc691_pfa_dna-tub-cetn_20240521_cl_s00	
bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s01	bmcc691_pfa_dna-tub-cetn_20240521_cl_s01	
bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s02	bmcc691_pfa_dna-tub-cetn_20240521_cl_s02	
bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s03	bmcc691_pfa_dna-tub-cetn_20240521_cl_s03	
bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s04	bmcc691_pfa_dna-tub-cetn_20240521_cl_s04	
bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_001	bmcc746_pfa_nhs-cetn-tub-dna_20240205_fm_001	
bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_002	bmcc746_pfa_nhs-cetn-tub-dna_20240205_fm_002	
bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_003	bmcc746_pfa_nhs-cetn-tub-dna_20240205_fm_003	
bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_004	bmcc746_pfa_nhs-cetn-tub-dna_20240205_fm_004	
rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s00	rcc6684_pfa_nhs-tub-dna_20230721_cl_s00	
rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s01	rcc6684_pfa_nhs-tub-dna_20230721_cl_s01	
rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s02	rcc6684_pfa_nhs-tub-dna_20230721_cl_s02	
rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s03	rcc6684_pfa_nhs-tub-dna_20230721_cl_s03	
rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s04	rcc6684_pfa_nhs-tub-dna_20230721_cl_s04	
rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s05	rcc6684_pfa_nhs-tub-dna_20230721_cl_s05	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s00	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s00	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s01	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s01	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s02	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s02	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s03	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s03	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s04	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s04	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s05	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s05	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s06	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s06	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s07	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s07	
rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s08	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s08	
